lacm,field,sex,laf,age,specnat,measure,gonads,wt,coll,datecoll,family,species,genus,spp,locality,state,county,ele,lat,lng,date,year,month,Description,abv,cty,cty2
121966,RS8505,M,NA,,SN,,TESTIS = 1.0,25.5,"SPEAR, L",28-Sep-85,Hydrobatidae,Oceanodroma tethys,Oceanodroma,ssp,   NA ,,,,0,-108,9/28/1985,1985,9,complete skeleton,NA,,
42814,,F,NA,,SS,,,NA,"DENTE, E",8-Aug-60,Formicariidae,Taraba major,Taraba,stagurus,BRAZIL MARANHAO  NA IMPERATRIZ,MARANHAO,,,-5.53,-47.48,8/8/1960,1960,8,study skin,NA,,
13346,877,F,NA,,SS,,,NA,"RICHARDSON, C H",25-Dec-05,Alaudidae,Eremophila alpestris,Eremophila,actia,UNITED STATES CALIFORNIA LOS ANGELES CO NA ALAMITOS BAY,CALIFORNIA,LOS ANGELES CO,,33.7166,-118.1166,12/25/1905,1905,12,study skin,CA,Los Angeles Co,Los Angeles County
17068,,M,NA,Adult,SS,,,NA,"WILLETT, GEORGE",5-Jun-30,Icteridae,Agelaius phoeniceus,Agelaius,nevadensis,UNITED STATES CALIFORNIA MODOC CO NA LIKELY,CALIFORNIA,MODOC CO,<4400 F,41.2309609,-120.5041161,6/5/1930,1930,6,study skin,CA,Modoc Co,Modoc County
75081,86,M,NA,Adult,SS,,,NA,"WALTNER, R C",18-Mar-67,Corvidae,Garrulus glandarius,Garrulus,bispecularis,INDIA UTTAR PRADESH DEHRA DUN DIST NA MUSSOORIE,UTTAR PRADESH,DEHRA DUN DIST,6800 F,30.43,78.08,3/18/1967,1967,3,study skin,NA,Dehra Dun Dist,Dehra Dun Dist
102935,KABP-25,M,NA,,FS,,,NA,"ANDERSON, D W",17-Jul-80,Pelecanidae,Pelecanus occidentalis,Pelecanus,californicus,MEXICO GULF OF CALIFORNIA  NA ,GULF OF CALIFORNIA,,,NA,NA,7/17/1980,1980,7,flat skin only,NA,,
60550,1828,F,NA,,SS,,,NA,,22-May-19,Muscicapidae,Hylocichla mustelina,Hylocichla,,UNITED STATES NEW YORK CAYUGA CO NA ,NEW YORK,CAYUGA CO,,NA,NA,5/22/1919,1919,5,study skin,NY,Cayuga Co,Cayuga County
14016,1280,M,NA,,SS,,,NA,"WYMAN, L E",7-Nov-17,Procellariidae,Fulmarus glacialis,Fulmarus,rodgersii,UNITED STATES CALIFORNIA LOS ANGELES CO NA MANHATTAN BEACH,CALIFORNIA,LOS ANGELES CO,,33.8901787,-118.3921432,11/7/1917,1917,11,study skin,CA,Los Angeles Co,Los Angeles County
1674,JH841,M,NA,,BM,,,NA,"WYMAN, L E",27-Dec-16,Troglodytidae,Cistothorus palustris,Cistothorus,plesius,UNITED STATES CALIFORNIA ORANGE CO NA SUNSET BEACH,CALIFORNIA,ORANGE CO,,33.7172928,-118.0721588,12/27/1916,1916,12,taxidermied body mount,CA,Orange Co,Orange County
86007,,M,NA,Adult,KB,,,NA,CALIF DEPT AGRICULTURE,20-Sep-67,Corvidae,Cyanocorax mystacalis,Cyanocorax,,   NA ,,,,NA,NA,9/20/1967,1967,9,study skin with body (trunk) skeleton,NA,,
