"","X.2","catalog","genus","species","sex","date","country","county","state","loc","tl","ws","wc","ossif","wt","description","skin","skeleton","tissue","wing","ethanol","year","month","decade","collection","order","family","locality","Sex","X.1","X","lacm","field","laf","age","specnat","measure","gonads","coll","datecoll","spp","ele","lat","lng","Description","abv","cty","cty2","nat","mount","name"
"715",3029,120043,"Dendroica","Setophaga coronata","U","2012-03-08","UNITED STATES","Los Angeles County","California",NA,NA,NA,NA,NA,10.1,"complete skeleton",NA,"skel_full",NA,NA,NA,2012,3,2010,"LACM","Passeriformes","Parulidae","UNITED STATES CALIFORNIA LOS ANGELES CO NA MALIBU","U",88290,88290,120043,"",NA,"Unassigned","SN","C=9.5; W=76; TAIL=57","","CALIFORNIA WILDLIFE CENTER","08 MAR 2012","auduboni","",34.0347371,-118.7354278,"complete skeleton","CA","Los Angeles Co","Los Angeles County","skeleton",NA,"LACM 120043"
"716",3031,116112,"Catharus","Catharus guttatus","F","2012-10-29","UNITED STATES","Los Angeles County","California",NA,NA,NA,NA,NA,21,"study skin","skin_study",NA,NA,NA,NA,2012,10,2010,"LACM","Passeriformes","Turdidae","UNITED STATES CALIFORNIA LOS ANGELES CO NA LOS ANGELES","F",88304,88304,116112,"",7830,"Unassigned","SS","","OV= 6 X 2, GRNAULAR","FELDMAN, D","29 OCT 2012","guttatus","",NA,NA,"study skin","CA","Los Angeles Co","Los Angeles County","study skin",NA,"LACM 116112"
"717",3032,119659,"Catharus","Catharus guttatus","M","2012-12-11","UNITED STATES","Los Angeles County","California",NA,NA,NA,NA,NA,18.1,"study skin","skin_study",NA,NA,NA,NA,2012,12,2010,"LACM","Passeriformes","Turdidae","UNITED STATES CALIFORNIA LOS ANGELES CO NA VALLEY VILLAGE","M",88305,88305,119659,"Dec-85",7967,"Unassigned","SS","","LT = 2 X 1; RT = 5 X 1, BLACK","CALIFORNIA WILDLIFE CENTER","11 DEC 2012","ssp","",NA,NA,"study skin","CA","Los Angeles Co","Los Angeles County","study skin",NA,"LACM 119659"
"718",3033,119899,"Catharus","Catharus guttatus","F","2013-11-17","UNITED STATES","Los Angeles County","California",NA,NA,NA,NA,NA,16.6,"study skin","skin_study",NA,NA,NA,NA,2013,11,2010,"LACM","Passeriformes","Turdidae","UNITED STATES CALIFORNIA LOS ANGELES CO NA AGOURA HILLS","F",88306,88306,119899,"13-3693",8055,"Unassigned","SS","","OV = 3.5 X 2, SMOOTH","CALIFORNIA WILDLIFE CENTER","17 NOV 2013","ssp","",NA,NA,"study skin","CA","Los Angeles Co","Los Angeles County","study skin",NA,"LACM 119899"
"719",3034,116103,"Catharus","Catharus guttatus","M","2011-05-24","UNITED STATES","San Luis Obispo County","California",NA,NA,NA,NA,NA,26,"study skin","skin_study",NA,NA,NA,NA,2011,5,2010,"LACM","Passeriformes","Turdidae","UNITED STATES CALIFORNIA SAN LUIS OBISPO CO NA PASO ROBLES","M",88307,88307,116103,"",7707,"Unassigned","SS","","","DONHUE,  J P","24 MAY 2011","ssp","",NA,NA,"study skin","CA","San Luis Obispo Co","San Luis Obispo County","study skin",NA,"LACM 116103"
"720",3036,115907,"Melospiza","Melospiza melodia","F","2011-05-30","UNITED STATES","Los Angeles County","California",NA,NA,NA,NA,NA,21.4,"study skin","skin_study",NA,NA,NA,NA,2011,5,2010,"LACM","Passeriformes","Passerellidae","UNITED STATES CALIFORNIA LOS ANGELES CO NA LANCASTER","F",88332,88332,115907,"",7680,"Unassigned","SS","","OV ENLARGED, LF = 7","GARRETT, K L","30 MAY 2011","cooperii","",NA,NA,"study skin","CA","Los Angeles Co","Los Angeles County","study skin",NA,"LACM 115907"
"721",3037,115908,"Melospiza","Melospiza melodia","M","2011-05-30","UNITED STATES","Los Angeles County","California",NA,NA,NA,NA,NA,19.8,"study skin","skin_study",NA,NA,NA,NA,2011,5,2010,"LACM","Passeriformes","Passerellidae","UNITED STATES CALIFORNIA LOS ANGELES CO NA LANCASTER","M",88333,88333,115908,"",7682,"Unassigned","SS","","LT= 11 X 7; RT=8 X 6","GARRETT, K L","30 MAY 2011","cooperii","",NA,NA,"study skin","CA","Los Angeles Co","Los Angeles County","study skin",NA,"LACM 115908"
"722",3038,106440,"Catharus","Catharus guttatus","M","1991-01-14","UNITED STATES","Orange County","California",NA,NA,NA,NA,NA,16.5,"study skin","skin_study",NA,NA,NA,NA,1991,1,1990,"LACM","Passeriformes","Turdidae","UNITED STATES CALIFORNIA ORANGE CO NA ANAHEIM","M",88381,88381,106440,"",NA,"Unassigned","SS","","L+R TESTES = 1 X 1, BLACK","HARRIS, B","14 JAN 1991","ssp","",33.8427601,-117.8671646,"study skin","CA","Orange Co","Orange County","study skin",NA,"LACM 106440"
"723",3039,114921,"Eremophila","Eremophila alpestris","F","2008-05-21","UNITED STATES","Riverside County","California",NA,NA,NA,NA,NA,22,"study skin","skin_study",NA,NA,NA,NA,2008,5,2000,"LACM","Passeriformes","Alaudidae","UNITED STATES CALIFORNIA RIVERSIDE CO NA CORONA","F",88392,88392,114921,"24061",7081,"Unassigned","SS","","OV= 6 X 3, LFOLL= 1.5","WETLANDS AND WILDLIFE CARE CENTER","21 MAY 2008","actia","",NA,NA,"study skin","CA","Riverside Co","Riverside County","study skin",NA,"LACM 114921"
"724",3040,120079,"Dendroica","Setophaga coronata","U","2014-03-03","UNITED STATES","Los Angeles County","California",NA,NA,NA,NA,NA,13.7,"complete skeleton",NA,"skel_full",NA,NA,NA,2014,3,2010,"LACM","Passeriformes","Parulidae","UNITED STATES CALIFORNIA LOS ANGELES CO NA TOPANGA","U",88395,88395,120079,"",8079,"Unassigned","SN","C=11.3; W=80.5; T=20.2; TAIL=60","","NORTON, R J","03 MAR 2014","auduboni","",NA,NA,"complete skeleton","CA","Los Angeles Co","Los Angeles County","skeleton",NA,"LACM 120079"
