lacm,field,sex,laf,age,specnat,measure,gonads,wt,coll,datecoll,family,species,genus,spp,locality,state,county,ele,lat,lng,date,year,month,Description,abv,cty,cty2
7089,DC6515,M,NA,,SS,,,NA,"KIMBALL, H",29-Mar-06,Tyrannidae,Pyrocephalus rubinus,Pyrocephalus,flammeus,UNITED STATES ARIZONA PIMA CO NA FORT LOWELL,ARIZONA,PIMA CO,2530 F,32.2600746,-110.8739395,3/29/1906,1906,3,study skin,AZ,Pima Co,Pima County
42446,,F,NA,,SS,,,NA,"DENTE, E",4-Aug-60,Bucconidae,Chelidoptera tenebrosa,Chelidoptera,tenebrosa,BRAZIL MARANHAO  NA IMPERATRIZ,MARANHAO,,,-5.53,-47.48,8/4/1960,1960,8,study skin,NA,,
106898,A-8,F,NA,,PS,C:20.4; W:95; T:26.7; TAIL:72,OV = 9 X 6; LFOLL = 2,47,"GARRETT, K L",7-Jun-83,Icteridae,Agelaius phoeniceus,Agelaius,arctolegus,CANADA ALBERTA PROV  NA TILLEY,ALBERTA PROV,,,NA,NA,6/7/1983,1983,6,body (trunk) skeleton only,NA,,
116993,,U,NA,IM,SN,,,NA,"ROMERO, P",30-Nov-70,Accipitridae,Buteo jamaicensis,Buteo,ssp,UNITED STATES CALIFORNIA ORANGE CO NA SEAL BEACH NAVAL WEAPONS STATION,CALIFORNIA,ORANGE CO,,NA,NA,11/30/1970,1970,11,complete skeleton,CA,Orange Co,Orange County
11808,1277,F,NA,JV,SS,,,NA,"DAGGETT, F S",13 JUL 1895,Cinclidae,Cinclus mexicanus,Cinclus,unicolor,UNITED STATES CALIFORNIA LOS ANGELES CO NA SAN GABRIEL R,CALIFORNIA,LOS ANGELES CO,2000 F,34.2333333,-117.9,1895-07-13,1895,7,study skin,CA,Los Angeles Co,Los Angeles County
393,9958,M,NA,AD,SS,,,NA,"SWARTH, H S",29-Sep-13,Icteridae,Agelaius phoeniceus,Agelaius,neutralis,UNITED STATES CALIFORNIA LOS ANGELES CO NA LOS ANGELES R BED,CALIFORNIA,LOS ANGELES CO,,34.0758389,-118.2259368,9/29/1913,1913,9,study skin,CA,Los Angeles Co,Los Angeles County
41718,1757,M,NA,,SS,,,NA,"BROMLEY, S C",24-Jan-60,Psittacidae,Psittacula krameri,Psittacula,centralis,CHAD   NA FADA,,,,17.23,21.53,1/24/1960,1960,1,study skin,NA,,
61474,,M,NA,AD,SS,,TE,NA,"(WILLIAMS, J G)",9-Dec-56,Nectariniidae,Anthreptes rectirostris,Anthreptes,tephrolaema,KENYA WESTERN PROV KAKAMEGA DIST NA KAKAMEGA FOREST,WESTERN PROV,KAKAMEGA DIST,5000 F,0.27,34.88,12/9/1956,1956,12,study skin,NA,Kakamega Dist,Kakamega Dist
18017,,M,NA,,SS,,,NA,ELLIOTT CORE DRILLING CO PERSONNEL,6-Apr-33,Icteridae,Icterus bullockii,Icterus,parvus,UNITED STATES CALIFORNIA LOS ANGELES CO NA LOS ANGELES,CALIFORNIA,LOS ANGELES CO,,33.9651,-118.1549,4/6/1933,1933,4,study skin,CA,Los Angeles Co,Los Angeles County
101041,183,U,NA,,SN,BILL:L=15.9;D=5.8;W=6.1;WING:150;TAR:40.3;TAIL:63.8,,NA,"COTTER, S",20-Dec-82,Hydrobatidae,Pelagodroma marina,Pelagodroma,maoriana,NEW ZEALAND CHATHAM IS CHATHAM IS CO NA SOUTHEAST IS (=RANGATIRA),CHATHAM IS,CHATHAM IS CO,,-44.35,-176.17,12/20/1982,1982,12,complete skeleton,NA,Chatham Is Co,Chatham Is County
